"lon","lat","biome"
287.75,80.25,22
288.25,80.25,22
288.75,80.25,22
289.25,80.25,22
289.75,80.25,22
290.25,80.25,22
290.75,80.25,22
291.25,80.25,22
291.75,80.25,22
292.25,80.25,22
292.75,80.25,22
293.25,80.25,22
293.75,80.25,22
294.25,80.25,22
294.75,80.25,22
295.25,80.25,22
295.75,80.25,22
296.25,80.25,22
296.75,80.25,22
297.25,80.25,22
297.75,80.25,22
298.25,80.25,22
298.75,80.25,22
299.25,80.25,26
299.75,80.25,26
300.25,80.25,26
300.75,80.25,26
301.25,80.25,26
301.75,80.25,26
302.25,80.25,26
302.75,80.25,27
303.25,80.25,27
303.75,80.25,27
304.25,80.25,27
304.75,80.25,26
305.25,80.25,27
305.75,80.25,26
306.25,80.25,26
306.75,80.25,26
307.25,80.25,26
307.75,80.25,26
308.25,80.25,26
308.75,80.25,26
309.25,80.25,26
309.75,80.25,28
310.25,80.25,28
310.75,80.25,28
311.25,80.25,28
311.75,80.25,28
312.25,80.25,28
312.75,80.25,28
313.25,80.25,28
313.75,80.25,28
314.25,80.25,28
314.75,80.25,28
315.25,80.25,28
315.75,80.25,28
316.25,80.25,28
316.75,80.25,28
317.25,80.25,28
317.75,80.25,28
318.25,80.25,28
318.75,80.25,28
319.25,80.25,28
319.75,80.25,28
320.25,80.25,28
320.75,80.25,28
321.25,80.25,28
321.75,80.25,28
322.25,80.25,28
322.75,80.25,28
323.25,80.25,28
323.75,80.25,28
324.25,80.25,28
324.75,80.25,28
325.25,80.25,28
325.75,80.25,28
326.25,80.25,28
326.75,80.25,28
327.25,80.25,28
327.75,80.25,28
328.25,80.25,28
328.75,80.25,28
329.25,80.25,28
329.75,80.25,28
330.25,80.25,28
330.75,80.25,28
331.25,80.25,28
331.75,80.25,28
332.25,80.25,22
332.75,80.25,22
333.25,80.25,22
333.75,80.25,22
334.25,80.25,22
334.75,80.25,22
335.25,80.25,22
335.75,80.25,22
336.25,80.25,22
336.75,80.25,22
337.25,80.25,22
337.75,80.25,22
338.25,80.25,22
338.75,80.25,22
339.25,80.25,22
339.75,80.25,22
340.25,80.25,22
340.75,80.25,22
341.25,80.25,22
341.75,80.25,22
342.25,80.25,22
342.75,80.25,22
268.25,79.75,26
268.75,79.75,26
269.25,79.75,26
269.75,79.75,26
270.25,79.75,26
270.75,79.75,26
271.25,79.75,22
271.75,79.75,22
272.25,79.75,22
272.75,79.75,22
273.25,79.75,22
273.75,79.75,22
274.25,79.75,22
274.75,79.75,22
275.25,79.75,22
275.75,79.75,22
276.25,79.75,22
276.75,79.75,22
277.25,79.75,22
277.75,79.75,22
278.25,79.75,22
278.75,79.75,22
279.25,79.75,22
279.75,79.75,22
280.25,79.75,26
280.75,79.75,26
281.25,79.75,26
281.75,79.75,26
282.25,79.75,22
282.75,79.75,26
283.25,79.75,22
283.75,79.75,22
284.25,79.75,22
284.75,79.75,22
285.25,79.75,22
285.75,79.75,22
286.25,79.75,22
286.75,79.75,22
287.25,79.75,22
287.75,79.75,22
288.25,79.75,22
288.75,79.75,22
289.25,79.75,22
289.75,79.75,22
290.25,79.75,22
290.75,79.75,22
291.25,79.75,22
291.75,79.75,22
292.25,79.75,22
292.75,79.75,22
293.25,79.75,22
293.75,79.75,22
294.25,79.75,22
294.75,79.75,22
295.25,79.75,22
295.75,79.75,22
296.25,79.75,22
296.75,79.75,22
297.25,79.75,22
297.75,79.75,22
298.25,79.75,22
298.75,79.75,26
299.25,79.75,26
299.75,79.75,26
300.25,79.75,26
300.75,79.75,26
301.25,79.75,26
301.75,79.75,26
302.25,79.75,26
302.75,79.75,26
303.25,79.75,26
303.75,79.75,26
304.25,79.75,26
304.75,79.75,26
305.25,79.75,26
305.75,79.75,26
306.25,79.75,26
306.75,79.75,26
307.25,79.75,26
307.75,79.75,26
308.25,79.75,26
308.75,79.75,26
309.25,79.75,26
309.75,79.75,28
310.25,79.75,28
310.75,79.75,28
311.25,79.75,28
311.75,79.75,28
312.25,79.75,28
312.75,79.75,28
313.25,79.75,28
313.75,79.75,28
314.25,79.75,28
314.75,79.75,28
315.25,79.75,28
315.75,79.75,28
316.25,79.75,28
316.75,79.75,28
317.25,79.75,28
317.75,79.75,28
318.25,79.75,28
318.75,79.75,28
319.25,79.75,28
319.75,79.75,28
320.25,79.75,28
320.75,79.75,28
321.25,79.75,28
321.75,79.75,28
322.25,79.75,28
322.75,79.75,28
323.25,79.75,28
323.75,79.75,28
324.25,79.75,28
324.75,79.75,28
325.25,79.75,28
325.75,79.75,28
326.25,79.75,28
326.75,79.75,28
327.25,79.75,28
327.75,79.75,28
328.25,79.75,28
328.75,79.75,28
329.25,79.75,28
329.75,79.75,28
330.25,79.75,28
330.75,79.75,28
331.25,79.75,28
331.75,79.75,28
332.25,79.75,22
332.75,79.75,22
333.25,79.75,22
333.75,79.75,22
334.25,79.75,22
334.75,79.75,22
335.25,79.75,22
335.75,79.75,22
336.25,79.75,22
336.75,79.75,22
337.25,79.75,22
337.75,79.75,22
338.25,79.75,22
338.75,79.75,22
339.25,79.75,22
339.75,79.75,22
340.25,79.75,22
340.75,79.75,22
341.25,79.75,22
341.75,79.75,22
342.25,79.75,22
342.75,79.75,22
268.25,79.25,22
268.75,79.25,22
269.25,79.25,22
269.75,79.25,22
270.25,79.25,22
270.75,79.25,22
271.25,79.25,22
271.75,79.25,22
272.25,79.25,22
272.75,79.25,22
273.25,79.25,22
273.75,79.25,22
274.25,79.25,22
274.75,79.25,22
275.25,79.25,22
275.75,79.25,22
276.25,79.25,22
276.75,79.25,22
277.25,79.25,22
277.75,79.25,22
278.25,79.25,22
278.75,79.25,22
279.25,79.25,22
279.75,79.25,22
280.25,79.25,22
280.75,79.25,26
281.25,79.25,22
281.75,79.25,22
282.25,79.25,22
282.75,79.25,22
283.25,79.25,22
283.75,79.25,22
284.25,79.25,22
284.75,79.25,22
285.25,79.25,22
285.75,79.25,22
286.25,79.25,22
286.75,79.25,22
287.25,79.25,22
287.75,79.25,22
288.25,79.25,22
288.75,79.25,22
289.25,79.25,22
289.75,79.25,22
290.25,79.25,22
290.75,79.25,22
291.25,79.25,22
291.75,79.25,22
292.25,79.25,22
292.75,79.25,22
293.25,79.25,22
293.75,79.25,22
294.25,79.25,22
294.75,79.25,22
295.25,79.25,22
295.75,79.25,22
296.25,79.25,22
296.75,79.25,22
297.25,79.25,22
297.75,79.25,22
298.25,79.25,26
298.75,79.25,26
299.25,79.25,26
299.75,79.25,26
300.25,79.25,26
300.75,79.25,26
301.25,79.25,26
301.75,79.25,26
302.25,79.25,26
302.75,79.25,26
303.25,79.25,26
303.75,79.25,26
304.25,79.25,26
304.75,79.25,26
305.25,79.25,26
305.75,79.25,26
306.25,79.25,26
306.75,79.25,26
307.25,79.25,26
307.75,79.25,26
308.25,79.25,26
308.75,79.25,26
309.25,79.25,26
309.75,79.25,28
310.25,79.25,28
310.75,79.25,28
311.25,79.25,28
311.75,79.25,28
312.25,79.25,28
312.75,79.25,28
313.25,79.25,28
313.75,79.25,28
314.25,79.25,28
314.75,79.25,28
315.25,79.25,28
315.75,79.25,28
316.25,79.25,28
316.75,79.25,28
317.25,79.25,28
317.75,79.25,28
318.25,79.25,28
318.75,79.25,28
319.25,79.25,28
319.75,79.25,28
320.25,79.25,28
320.75,79.25,28
321.25,79.25,28
321.75,79.25,28
322.25,79.25,28
322.75,79.25,28
323.25,79.25,28
323.75,79.25,28
324.25,79.25,28
324.75,79.25,28
325.25,79.25,28
325.75,79.25,28
326.25,79.25,28
326.75,79.25,28
327.25,79.25,28
327.75,79.25,28
328.25,79.25,28
328.75,79.25,28
329.25,79.25,28
329.75,79.25,28
330.25,79.25,28
330.75,79.25,28
331.25,79.25,28
331.75,79.25,28
332.25,79.25,22
332.75,79.25,22
333.25,79.25,22
333.75,79.25,22
334.25,79.25,22
334.75,79.25,22
335.25,79.25,22
335.75,79.25,22
336.25,79.25,22
336.75,79.25,22
337.25,79.25,22
337.75,79.25,22
338.25,79.25,22
338.75,79.25,22
339.25,79.25,22
339.75,79.25,22
340.25,79.25,22
340.75,79.25,22
341.25,79.25,22
341.75,79.25,22
342.25,79.25,22
342.75,79.25,22
99.75,78.75,25
100.25,78.75,25
100.75,78.75,25
101.25,78.75,25
101.75,78.75,26
102.25,78.75,26
102.75,78.75,26
103.25,78.75,26
103.75,78.75,26
104.25,78.75,26
104.75,78.75,26
105.25,78.75,25
105.75,78.75,25
106.25,78.75,25
268.25,78.75,22
268.75,78.75,22
269.25,78.75,22
269.75,78.75,22
270.25,78.75,22
270.75,78.75,22
271.25,78.75,22
271.75,78.75,22
272.25,78.75,22
272.75,78.75,22
273.25,78.75,22
273.75,78.75,22
274.25,78.75,22
274.75,78.75,22
275.25,78.75,22
275.75,78.75,22
276.25,78.75,22
276.75,78.75,22
277.25,78.75,22
277.75,78.75,22
278.25,78.75,22
278.75,78.75,22
279.25,78.75,26
279.75,78.75,28
280.25,78.75,28
280.75,78.75,28
281.25,78.75,28
281.75,78.75,28
282.25,78.75,28
282.75,78.75,28
283.25,78.75,22
290.75,78.75,22
291.25,78.75,22
291.75,78.75,22
292.25,78.75,22
292.75,78.75,22
293.25,78.75,22
293.75,78.75,22
294.25,78.75,22
294.75,78.75,28
295.25,78.75,28
295.75,78.75,28
296.25,78.75,28
296.75,78.75,28
297.25,78.75,28
297.75,78.75,28
298.25,78.75,28
298.75,78.75,28
299.25,78.75,28
299.75,78.75,28
300.25,78.75,28
300.75,78.75,28
301.25,78.75,28
301.75,78.75,28
302.25,78.75,28
302.75,78.75,28
303.25,78.75,28
303.75,78.75,28
304.25,78.75,28
304.75,78.75,28
305.25,78.75,28
305.75,78.75,28
306.25,78.75,28
306.75,78.75,28
307.25,78.75,28
307.75,78.75,28
308.25,78.75,28
308.75,78.75,28
